,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,Other_B,acer,AMD,Intel,M1,MediaTek,Qualcomm,Celeron Dual,Core i3,Core i5,Core i7,Core i9,M1,Other_P,Pentium Quad,Ryzen 3,Ryzen 5,Ryzen 7,Ryzen 9,DOS,Mac,Windows
29,,3,1,4,0,1,0,1,14,0,0,0,32490,39288,17,4,58,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,,2,1,4,0,1,0,1,,0,0,0,31799,36999,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,,2,1,4,0,1,0,1.5,,0,0,0,29890,33990,12,4,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,,2,1,0,1,1,0,1.5,15.6,1,0,0,23990,26990,11,3.8,15279,1947,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,7,2,1,0,1,1,0,1.5,15.6,0,0,0,32955,0,0,4.2,311,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,7,2,1,0,1,0,2,1.5,15.6,0,0,0,46200,0,0,4.2,47,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,11,2,1,4,0,1,0,1,14,0,0,0,34429,49990,31,4.1,37,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,10,3,1,4,0,0,0,1,15.6,2,0,1,37990,57990,34,4.3,2080,235,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,11,2,1,4,0,0,0,1.5,15.6,1,0,1,35990,49990,28,4.3,1479,181,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,10,3,1,4,0,1,0,1,14,0,0,0,33980,46990,27,4.4,67,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39,11,3,1,4,0,1,0,1,14,1,0,1,39990,50085,20,4.2,273,30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,10,3,1,4,0,1,0,1,14,1,0,1,39490,43312,8,4.3,1267,171,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,11,3,1,4,0,0,0,1,15.6,1,0,0,38990,51999,25,4.3,1063,152,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
42,11,3,1,4,0,1,0,1.5,14,1,1,1,53990,63510,14,4.6,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,11,3,1,4,0,1,0,1,15.6,1,0,0,38990,52999,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
44,11,3,1,4,0,1,0,1,14,1,0,1,46990,54999,14,4.4,6352,1014,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45,11,3,1,4,0,1,0,1,15.6,1,0,0,37990,52990,28,4.3,284,39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,11,3,1,4,0,1,0,1.5,14,1,0,1,37890,51990,27,4.6,44,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
